district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Hardoi,2021,27.4,80.13,66,56,122,135,103,57,65,1951
Hathras,2021,27.59,78.05,28,23,145,236,39,23,34,1563
Jalaun,2021,26.14,79.35,29,11,70,116,40,69,17,1020
Jaunpur,2021,25.75,82.67,48,20,202,232,81,85,32,1993
Jhansi,2021,25.45,78.57,35,7,61,155,35,41,35,1152
Kannauj,2021,27.05,79.92,49,14,106,77,31,26,52,1149
Kanpur Dehat,2021,26.41,79.79,81,7,202,148,78,140,21,1900
Kanpur Nagar,2021,26.46,80.33,48,10,209,482,108,296,35,3235
Kasganj,2021,27.81,78.65,55,6,85,118,44,0,35,1130
Kaushambi,2021,25.54,81.38,34,8,71,142,67,43,10,1107
Kheri,2021,27.9,80.77,62,9,108,176,55,66,36,1567
Kushinagar,2021,26.74,83.88,33,20,95,177,80,23,12,1312
Lalitpur,2021,24.69,78.41,17,4,26,39,24,0,11,397
Mahrajganj,2021,27.18,83.56,21,5,59,101,48,43,11,831
Mahoba,2021,25.29,79.87,19,11,42,40,33,32,18,596
Mainpuri,2021,27.23,79.02,61,22,138,234,8,5,52,1665
Mathura,2021,27.5,77.67,82,109,655,1115,180,0,77,6426
Mau,2021,25.94,83.56,21,22,105,149,44,101,40,1384
Meerut,2021,28.99,77.7,113,72,1025,1165,141,0,103,7336
Mirzapur,2021,25.15,82.57,25,1,65,80,39,13,12,702
Moradabad,2021,28.84,78.78,50,18,425,554,75,0,51,3314
Muzaffarnagar,2021,29.47,77.7,61,32,193,218,49,14,33,1813
Pilibhit,2021,28.63,79.8,41,36,90,78,60,195,59,1628
Pratapgarh,2021,25.9,81.98,69,36,118,352,127,11,48,2424
Rae Bareli,2021,26.23,81.24,39,16,146,145,117,101,33,1704
Rampur,2021,28.81,79.03,32,13,86,163,40,0,74,1363
Saharanpur,2021,29.97,77.55,34,15,205,155,45,174,37,1773
Sambhal,2021,28.59,78.58,48,25,161,167,33,89,45,1665
Sant Kabir Nagar,2021,26.79,83.03,14,4,30,36,24,35,37,581
Shahjahanpur,2021,27.88,79.91,61,0,62,61,26,193,9,1121
Shamli,2021,29.45,77.31,35,18,100,158,46,0,25,1184
Shrawasti,2021,27.44,82.06,22,5,27,23,15,28,12,414
Siddharthnagar,2021,27.3,83.05,15,2,38,63,18,61,22,634
Sitapur,2021,27.56,80.68,71,4,141,137,61,155,9,1602
Sonbhadra,2021,24.69,83.07,31,11,116,76,41,67,26,1046
Bhadohi,2021,25.39,82.57,17,17,53,98,41,66,17,893
Sultanpur,2021,26.26,82.07,58,46,217,253,124,113,39,2460
Unnao,2021,26.55,80.49,44,35,177,147,93,34,27,1637
Varanasi,2021,25.32,83.01,57,16,327,847,233,335,69,5258
Farrukhabad,2021,27.39,79.57,53,15,85,82,47,115,30,1262
Gautam Buddha Nagar,2021,28.53,77.39,80,55,808,1328,126,152,46,7132
Agra,2022,27.18,78.01,80,70,614,1347,248,427,98,8037
Aligarh,2022,27.88,78.08,98,243,649,672,197,0,57,5652
Prayagraj,2022,25.44,81.84,100,48,499,1065,454,479,106,7735
Ambedkar Nagar,2022,26.45,82.54,43,16,171,176,77,65,66,1840
Amethi,2022,26.15,81.82,35,18,138,108,67,76,35,1375
Auraiya,2022,26.47,79.51,29,13,169,117,86,86,14,1386
Azamgarh,2022,26.07,83.19,46,19,272,238,124,21,77,2363
Budaun,2022,28.04,79.12,56,15,159,183,40,95,61,1822
Baghpat,2022,28.94,77.22,49,16,236,215,61,0,26,1739
Bahraich,2022,27.57,81.6,57,11,250,197,114,56,40,2074
Ballia,2022,25.75,84.15,40,8,153,207,74,65,30,1661
Balrampur,2022,27.43,82.18,23,7,74,59,16,56,65,953
Banda,2022,25.48,80.33,57,17,128,102,92,68,34,1497
Bara Banki,2022,26.93,81.19,43,7,29,159,49,101,23,1242
Bareilly,2022,28.36,79.42,86,28,468,665,146,415,27,4876
Basti,2022,26.8,82.73,32,16,104,127,117,130,85,1849
Bijnor,2022,29.37,78.14,48,18,171,212,45,0,27,1560
Bulandshahr,2022,28.41,77.85,56,21,600,422,128,152,49,3763
Chandauli,2022,25.28,83.27,24,6,66,125,47,49,20,990
Chitrakoot,2022,25.2,80.89,20,4,48,52,50,35,21,693
Deoria,2022,26.5,83.78,27,5,78,154,73,0,13,1057
Etah,2022,27.56,78.67,31,21,120,156,29,226,11,1541
